"method","path","required_role","required_permission","body","required_params","optional_params","expected_response","notes"
"POST","/api/v1/exams/{examId}/archive","Tenant Admin or Technical Evaluator","exam.manage","None","None","None","200 OK with updated archive state","Archives an exam."
"GET","/api/v1/cohorts","Tenant Admin","cohort.view","None","None","None","200 OK with cohort list","Lists cohorts."
"POST","/api/v1/cohorts","Tenant Admin","cohort.manage","{""cohort_name"":""Batch A"",""cohort_code"":""BATCH-A"",""cohort_type"":""batch""}","cohort_name, cohort_code, cohort_type","cohort_description, parent_cohort_id, cohort_attributes","201 Created with cohort resource","Creates a cohort."
"GET","/api/v1/cohorts/{cohortId}","Tenant Admin","cohort.view","None","None","None","200 OK with cohort resource","Shows one cohort."
"PATCH","/api/v1/cohorts/{cohortId}","Tenant Admin","cohort.manage","{""cohort_name"":""Updated Batch""}","None","cohort_name, cohort_code, cohort_type, cohort_description, cohort_attributes, is_active","200 OK with updated cohort","Updates a cohort."
"DELETE","/api/v1/cohorts/{cohortId}","Tenant Admin","cohort.manage","None","None","None","200/204 success","Deletes a cohort."
"GET","/api/v1/cohorts/{cohortId}/members","Tenant Admin","cohort.view","None","None","None","200 OK with cohort members","Lists cohort members."
"POST","/api/v1/cohorts/{cohortId}/members","Tenant Admin","cohort.member.manage","{""user_id"":""<uuid>""}","user_id","membership_role","201 Created with membership resource","Adds a user to a cohort."
"DELETE","/api/v1/cohorts/{cohortId}/members/{userId}","Tenant Admin","cohort.member.manage","None","None","None","200/204 success","Removes a user from a cohort."
"POST","/api/v1/exam-sessions","Candidate","examSession.start","{""exam_id"":""<uuid>""}","exam_id","None","201 Created with session resource","Starts a new exam session."
"GET","/api/v1/exam-sessions/{sessionId}","Session owner or staff","examSession.view","None","None","None","200 OK with session resource","Shows a session."
"POST","/api/v1/exam-sessions/{sessionId}/responses","Session owner","examSession.participate","{""session_item_id"":""<uuid>"",""response_type"":""text"",""response_text"":""My answer""}","session_item_id, response_type","response_text, selected_options, is_flagged_for_review","200 OK with updated session resource","Submits a response."
"POST","/api/v1/exam-sessions/{sessionId}/suspend","Session owner","examSession.participate","None","None","None","200 OK with suspended session","Suspends a session."
"POST","/api/v1/exam-sessions/{sessionId}/resume","Session owner","examSession.participate","None","None","None","200 OK with resumed session","Resumes a session."
"POST","/api/v1/exam-sessions/{sessionId}/complete","Session owner","examSession.participate","None","None","None","200 OK with completed session","Completes a session."
"POST","/api/v1/exam-sessions/{sessionId}/terminate","Staff with manage permission","examSession.manage","None","None","None","200 OK with terminated session","Terminates a session."
"GET","/api/v1/exam-sessions/{sessionId}/result","Session owner or evaluator","examSession.view","None","None","None","200 OK with result payload","Gets assessment result."
"POST","/api/v1/exam-sessions/{sessionId}/heartbeat","Session owner","examSession.participate","{""metadata"":{""client"":""browser""}}","None","metadata","200 OK","Keeps session alive."
"POST","/api/v1/exam-sessions/{sessionId}/proctor-events","Authenticated user","None","{""event_type"":""attention"",""event_timestamp"":""2026-07-20T10:00:00Z""}","event_type, event_timestamp","event_category, event_payload, severity_level","201 Created or success payload","Logs a proctor event."
"GET","/api/v1/exam-sessions/{sessionId}/proctor-events","Proctor or Tenant Admin","proctoring.view","None","None","None","200 OK with events list","Lists proctor events."
"GET","/api/v1/exam-sessions/{sessionId}/pending-evaluations","Technical Evaluator","grading.evaluate","None","None","None","200 OK with pending evaluations","Lists manual grading work."
"PATCH","/api/v1/answer-evaluations/{evaluationId}/score","Technical Evaluator","grading.evaluate","{""score_awarded"":88.5}","score_awarded","rubric_id, evaluator_comments, requires_secondary_review","200 OK with updated evaluation","Scores a pending evaluation."
"POST","/api/v1/exam-sessions/{sessionId}/result/publish","Technical Evaluator or Tenant Admin","grading.publish","None","None","None","200 OK with published result status","Publishes result."
"GET","/api/v1/exam-sessions/{sessionId}/result/publication-status","Technical Evaluator or Tenant Admin","grading.view","None","None","None","200 OK with publication status","Shows publication status."
"GET","/api/v1/penalty-rules","Tenant Admin or Proctor","penalty.view","None","None","None","200 OK with penalty rules","Lists penalty rules."
"POST","/api/v1/penalty-rules","Tenant Admin","penalty.manage","{""penalty_name"":""Cheating"",""penalty_type"":""points"",""trigger_condition"":""rule""}","penalty_name, penalty_type, trigger_condition","trigger_parameters, penalty_points, penalty_percentage, is_active","201 Created with rule resource","Creates a penalty rule."
"GET","/api/v1/penalty-rules/{ruleId}","Tenant Admin or Proctor","penalty.view","None","None","None","200 OK with penalty rule","Shows one rule."
"PATCH","/api/v1/penalty-rules/{ruleId}","Tenant Admin","penalty.manage","{""penalty_name"":""Updated penalty""}","None","penalty_name, penalty_type, trigger_condition, trigger_parameters, penalty_points, is_active","200 OK with updated rule","Updates a rule."
"DELETE","/api/v1/penalty-rules/{ruleId}","Tenant Admin","penalty.manage","None","None","None","200/204 success","Deletes a rule."
"POST","/api/v1/penalty-rules/{ruleId}/activate","Tenant Admin","penalty.manage","None","None","None","200 OK","Activates a rule."
"POST","/api/v1/penalty-rules/{ruleId}/deactivate","Tenant Admin","penalty.manage","None","None","None","200 OK","Deactivates a rule."
"GET","/api/v1/exam-sessions/{sessionId}/sanctions","Tenant Admin or Proctor","penalty.view","None","None","None","200 OK with sanctions list","Lists sanctions for a session."
"POST","/api/v1/sanctions/{sanctionId}/void","Tenant Admin","penalty.manage","{""reason"":""Incorrectly applied""}","reason","None","200 OK with voided sanction","Voids a sanction."
"POST","/api/v1/workflows","Tenant Admin or Technical Evaluator","workflow.manage","{""resource_type"":""exam_result"",""resource_id"":""<uuid>"",""workflow_type"":""approval""}","resource_type, resource_id, workflow_type","None","201 Created with workflow resource","Initiates a workflow."
"GET","/api/v1/workflows/{workflowId}","Tenant Admin or Technical Evaluator","workflow.view","None","None","None","200 OK with workflow resource","Shows a workflow."
"POST","/api/v1/workflows/{workflowId}/approve","Tenant Admin or Technical Evaluator","workflow.approve","None","None","None","200 OK with approved workflow","Approves a workflow."
"GET","/api/v1/analytics/dashboard","Tenant Admin","analytics.view","None","None","None","200 OK with analytics summary","Shows dashboard analytics."
"GET","/api/v1/exams/{examId}/enrollments","Tenant Admin or Technical Evaluator","enrollment.view","None","None","None","200 OK with enrollment list","Lists exam enrollments."
"POST","/api/v1/exams/{examId}/enrollments","Tenant Admin or Technical Evaluator","enrollment.manage","{""candidate_user_id"":""<uuid>"",""cohort_id"":""<uuid>""}","candidate_user_id","cohort_id, start_window_date, end_window_date, max_attempts_allowed, enrollment_notes","201 Created with enrollment resource","Enrolls a candidate."
"DELETE","/api/v1/exams/{examId}/enrollments/{enrollmentId}","Tenant Admin or Technical Evaluator","enrollment.manage","None","None","None","200/204 success","Deletes an enrollment."

